date,"conversation_id",essid,lemmas,sentiment,tweet,username
"Jan 18, 2021 @ 14:22:49.000","1,113,345,882,328,633,344","yandex_go","самый необычный яндекс такси","0.5","@tn_kzn Самое необычное имя в яндекс такси  https://t.co/T5sMAYoioM",xdwndx
"Jan 16, 2021 @ 23:13:19.000","1,116,682,699,094,265,984","yandex_go","дополнение новохоперск настолько маленький работать яндекс такси",1,"Дополнение про Новохопёрск: он настолько маленький, что там не работает Яндекс такси :)",alexey4e
"Jan 6, 2021 @ 08:44:58.000","1,135,161,095,163,928,704","yandex_go","яндекс подготовить материал разнообразный финансовый статистика стоимость владение машина понятный определенный bias конфликт интерес учет сервис такси каршеринг равный любопытный получиться","0.5","46. Яндекс подготовил материал с разнообразной финансовой статистикой о стоимости владения машиной. Понятно, что здесь есть определённый bias и конфликт интересов (с учётом их сервисов такси и каршеринга), но всё равно любопытно получилось:  https://t.co/mum9tilHnp","Rational_Answer"
"Jan 10, 2021 @ 17:39:14.000","1,151,861,530,373,369,856","yandex_go","здравствовать водитель должный отменять заказ объективный причина написать номер телефон приложение посмотреть водитель",0,"@Oleg100001 Здравствуйте! Конечно, водитель не должен отменять заказ, если на то нет объективных причин. Напишите, пожалуйста, нам в DM ваш номер телефона из приложения, а мы посмотрим, что там был за водитель.","Uber_Russia"
"Jan 10, 2021 @ 17:43:04.000","1,151,861,530,373,369,856","yandex_go","позволить проверить написать номер телефон привязать приложение","0.5","@Oleg100001 Позвольте нам всё проверить. Напишите, пожалуйста, нам в DM номер телефона, который привязан в приложении.","Uber_Russia"
"Jan 23, 2021 @ 10:58:17.000","1,151,861,530,373,369,856","yandex_go","здравствовать написать рассказать случиться обязательно постараться разобраться",1,"@jendo1411 Здравствуйте! Напишите нам, пожалуйста, в DM и расскажите что случилось. Мы обязательно постараемся во всём разобраться.","Uber_Russia"
"Jan 23, 2021 @ 10:50:51.000","1,151,861,530,373,369,856","yandex_go","кончить водитель набрать объявление","0.5","@Uber_Russia Конченные водители.  Набрали по объявлению.","psalmokatara_"
"Feb 18, 2021 @ 22:56:52.000","1,179,687,478,866,915,328","yandex_go","здравствовать давать проверить пойти коллега предоставлять ответ благодарный написать номер телефон привязать приложение","0.5","@HelgMosh Здравствуйте! Давайте мы проверим, что могло пойти не так и почему наши коллеги так долго предоставляют ответ. Будем благодарны, если напишите нам в DM номер телефона, который привязан в приложении.","Uber_Russia"
"Feb 16, 2021 @ 20:51:54.000","1,179,687,478,866,915,328","yandex_go","здравствовать данные получить официальный запрос полиция рассказывать произойти коллега написать","0.5","@bestFaul Здравствуйте! Такие данные можно получить только по официальному запросу из полиции. Если вы ещё не рассказывали о произошедшем нашим коллегам, то напишите нам в DM, пожалуйста.","Uber_Russia"
"Feb 16, 2021 @ 20:47:52.000","1,179,687,478,866,915,328","yandex_go","добрый подскажете получить данные поездка карта нехороший покататься такси счет понадобиться оформление заявление полиция",0,"@Uber_Russia Добрый день.Не подскажете можно ли получить данные о поездках по моей карте(нехорошие люди покатались на вашем такси за мой счёт и они понадобятся мне для оформления заявления в полицию)",bestFaul
"Feb 13, 2021 @ 05:31:33.000","1,250,706,870,827,913,216","yandex_go","спб повысить спрос двойной цена дом машина стоить",0,"@yandex_go Скажите , а почему у вас в СПб  теперь всегда повышенный спрос с двойной ценой? Даже когда около дома 2-3 машины стоит ?","Olga_liss_"
"Feb 21, 2021 @ 07:37:04.000","1,250,706,870,827,913,216","yandex_go","хрен подписка яндекс плюс цена такси выше сотня номер идиот держать разный телефон цена разниться вообще считать дармоед снизить реальный цена метро",0,"@yandex_go И ещё. Какого хрена у меня по подписке Яндекс Плюс цены на такси выше на несколько сотен, чем без неё на другом номере? Вы за идиотов что ли людей держите? С двух разных телефонов цены разнятся. Вы как вообще считаете, дармоеды? Пока не снизите до реальных цен, только метро.",netsenko
